Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date
2023-06-14,157.92214965820312,37.83905792236328,0.0,0.0,158.43044498984113,38.781188483022305,157.35520773353127,37.80060271565303,157.96125733036354,38.76196087966718,0.0,0.0,6699100,22056400
2023-06-15,160.04327392578125,38.213985443115234,0.0,0.0,160.21922860685993,38.29089585336294,157.79506023221248,37.76214595113547,158.40110978347718,37.887123534142894,0.0,0.0,7138300,19905900
2023-06-16,160.5320281982422,38.51200485229492,0.0,0.0,161.27492482066347,38.800411534204414,160.18013372320232,38.310116874397345,160.776398947153,38.319732508591954,0.0,0.0,13425100,60325100
2023-06-20,160.4342803955078,37.81983184814453,0.0,0.0,161.58770311030088,38.32935052214004,160.12147869408227,37.81021987972352,160.56134303590665,38.17553335637024,0.0,0.0,7995800,26881200
2023-06-21,160.1898956298828,37.39683532714844,0.0,0.0,161.20647124007104,37.723697260793244,159.0266886417912,37.26224209905547,159.89664778928082,37.68524205276668,0.0,0.0,7177500,17982900
2023-06-22,161.89071655273438,37.2333984375,0.0,0.0,161.9884708108862,37.48335359493069,160.10192101803682,36.925764141654604,160.20944473592155,37.435282756531656,0.0,0.0,5485900,18039800
2023-06-23,161.75387573242188,36.82001495361328,0.0,0.0,162.5260956218473,37.367988784032434,161.3140113843119,36.80078735129978,162.3696947688996,37.214171632814605,0.0,0.0,9450700,23492200
2023-06-26,159.94554138183594,35.464500427246094,0.0,0.0,161.26513442759153,35.61831757961228,157.6973275927039,34.76270944036973,161.26513442759153,35.5894780095718,0.0,0.0,6978800,56135500
2023-06-27,159.61318969726562,35.01266098022461,0.0,0.0,160.18991599266943,35.57025045028513,158.7823381110172,34.878071430152126,159.9944074639459,35.53179524532436,0.0,0.0,4927500,32414900
2023-06-28,159.29061889648438,34.88768768310547,0.0,0.0,159.5252052452063,35.1280272174328,158.26425887521012,34.6377325137225,159.5252052452063,35.089572011790764,0.0,0.0,6780400,30062000
2023-06-29,160.4049530029297,34.72425842285156,0.0,0.0,160.62000043836494,34.82039644673007,158.57704980172994,34.37816887147018,158.97782137824163,34.59928449274545,0.0,0.0,4547500,26284900
2023-06-30,161.79296875,35.26261520385742,0.0,0.0,162.2035097654012,35.32990997709725,160.6493155824099,34.743480952615755,161.1478264764246,34.81077572585559,0.0,0.0,7580000,30853900
2023-07-03,159.6718292236328,35.23377990722656,0.0,0.0,160.68840482309676,35.32030229292577,159.29061150943326,34.94536951003552,160.6395276976446,35.08957470863104,0.0,0.0,4033700,14115800
2023-07-05,159.14398193359375,35.051116943359375,0.0,0.0,160.22898850400716,35.58947882258456,159.06578151502646,34.98382216686751,159.31993660417135,35.16648256073709,0.0,0.0,7224600,26829400
2023-07-06,157.96124267578125,34.25319290161133,0.0,0.0,158.71389377016547,34.86846154863248,157.3747469694403,34.243577266150766,158.59660059497944,34.801166769570195,0.0,0.0,6332500,30177300
2023-07-07,155.66415405273438,34.15705490112305,0.0,0.0,157.41384190608406,34.38778247752051,155.6152769239938,33.98401013564755,156.8566844010173,34.147442932947925,0.0,0.0,7021700,22883300
